PLAYER NAME,Ball Speed,Driving Distance,Approaches from > 100 yards,Eagles (Holes per),Putts Per Round,Birdie Average,Proximity to Hole,FedexCup Regular Season Points,Average Distance of Putts made,GIR Percentage from Fairway,Official Money,Bogey Average,Par 3 Scoring Average,Club Head Speed,Par 4 Scoring Average,Par 5 Scoring Average,Driving Accuracy Percentage,Scoring Average,Total Birdies,Total Eagles,Spin Rate,Top 10 Finishes,Sand Save Percentage,Scrambling,SG: Total,Smash Factor,Country,College
A.J. McInerney (2018),,,,,,,,,,,,,,,,,,,,,,1,,,,,USA,"University of Nevada-Las Vegas 2016, Finance"
Aaron Wise (2017),,,,,,,,,,,,,,,,,,,,,,1,,,,,USA,University of Oregon
Aaron Wise (2018),171.85,302.9,"33' 5""",264,29.15,4.11,"36' 8""",1086,"79' 2""",81.6,"3,486,407",2.66,3.06,114.38,4,4.63,63.33,70.247,362,6,2580.3,4,47.92,56.28,0.703,1.502,USA,University of Oregon
Aaron Wise (2019),174.29,302.6,"33' 10""",414,29.25,4.42,"37' 5""",400,"72' 1""",80.13,"1,052,507",2.67,3.01,116.54,4.04,4.54,61.75,70.739,305,3,2331.3,1,48.19,52.05,0.329,1.495,USA,University of Oregon
Abraham Ancer (2016),159.6,276.4,"32' 4""",864,29.06,3.33,"34' 9""",147,"65' 4""",69.25,"162,811",3.08,3.08,106.9,4.07,4.8,65.42,72.137,160,1,2604.7,,46.75,56.67,-0.727,1.493,MEX,"University of Oklahoma 2013, Multi-Disciplinary Studies"
Abraham Ancer (2018),167.57,296.1,"33' 0""",345.6,28.91,3.64,"35' 5""",589,"70' 6""",75.64,"1,676,695",2.41,3.06,111.85,4.01,4.63,63.64,70.659,349,5,2599.9,5,54.12,62.69,0.32,1.498,MEX,"University of Oklahoma 2013, Multi-Disciplinary Studies"
Abraham Ancer (2019),168.18,293.3,"31' 9""",226.3,28.81,3.89,"34' 7""",622,"71' 4""",74.57,"2,688,625",2.41,3.06,112.04,3.98,4.62,70.21,70.58,342,7,2759,4,46.62,61.98,0.515,1.501,MEX,"University of Oklahoma 2013, Multi-Disciplinary Studies"
Adam Hadwin (2015),169.37,288.2,"32' 9""",209.3,29.15,3.54,"35' 1""",584,"78' 2""",77.07,"937,611",2.4,3.05,114.67,4.04,4.68,65.43,71.021,329,8,2924.1,3,50.96,58.39,0.183,1.477,CAN,"University of Louisville  (2009, Business Administration)"
Adam Hadwin (2016),167.96,290.1,"33' 3""",239.1,28.55,3.84,"36' 1""",638,"76' 2""",77.39,"1,067,809",2.45,3.01,114.05,4.03,4.66,63.62,70.719,357,7,2719.8,2,54.78,58.27,0.519,1.472,CAN,"University of Louisville  (2009, Business Administration)"
Adam Hadwin (2017),170.28,291.3,"32' 7""",294,28.56,3.63,"36' 1""",1347,"76' 8""",74.54,"3,455,012",2.32,3.04,114.97,4.03,4.66,63.2,70.583,356,6,2693,5,61.11,62.82,0.551,1.481,CAN,"University of Louisville  (2009, Business Administration)"
Adam Hadwin (2018),168.2,289.4,"34' 9""",267,29.26,3.6,"38' 0""",638,"73' 7""",79.02,"1,932,488",2.58,3.07,111.69,4,4.7,65.6,70.75,320,6,2952,3,47.34,58.59,0.596,1.506,CAN,"University of Louisville  (2009, Business Administration)"
Adam Hadwin (2019),169.65,291.2,"31' 4""",134.2,28.68,3.98,"34' 5""",818,"72' 1""",77.19,"2,039,012",2.65,3.05,112.5,4.03,4.55,67.77,70.545,326,11,2985.8,5,55.94,57.62,0.343,1.508,CAN,"University of Louisville  (2009, Business Administration)"
Adam Long (2019),165.68,292,"33' 2""",105.2,29.22,3.22,"35' 1""",719,"68' 8""",75.67,"1,648,007",2.7,3.1,110.38,4.06,4.67,66.51,71.464,245,13,2639.3,2,49.59,58.74,-0.418,1.5,USA,"Duke University (2010, Sociology)"
Adam Schenk (2018),177.58,305.5,"34' 7""",205.7,29.95,3.29,"39' 3""",239,"76' 11""",78.38,"474,923",2.71,3.06,120.59,4.06,4.68,57.67,71.37,263,7,3006.1,1,42.36,54.55,-0.15,1.472,USA,"Purdue University  (2014, Management)"
Adam Schenk (2019),180.1,300.8,"32' 9""",163.6,29.01,3.97,"36' 11""",524,"75' 5""",78.86,"1,257,158",2.28,3.02,123.25,4.01,4.59,61.27,70.817,397,11,3165.1,3,50,60.71,0.487,1.461,USA,"Purdue University  (2014, Management)"
Adam Scott (2015),179.72,311.6,"34' 0""",123.4,30.11,3.73,"36' 2""",585,"74' 2""",84.86,"1,382,365",2.65,3.14,120.27,4.04,4.58,60.69,70.456,179,7,2520.8,3,50,54.09,0.206,1.494,AUS,University of Nevada-Las Vegas
Adam Scott (2016),180.23,304.6,"28' 0""",105.2,29.5,3.95,"32' 5""",2063,"73' 5""",84.26,"6,473,090",2.3,3,119.75,4,4.58,55.55,69.47,300,13,2559.5,9,50.94,59.5,1.894,1.505,AUS,University of Nevada-Las Vegas
Adam Scott (2017),177.78,307,"33' 5""",261,29.36,3.78,"36' 9""",642,"73' 3""",79.57,"1,695,144",2.62,2.97,118.55,4.05,4.67,56.65,69.996,219,4,2823.4,4,53.85,58.43,1.006,1.499,AUS,University of Nevada-Las Vegas
Adam Scott (2018),180.85,304.6,"32' 5""",234,30.15,3.76,"35' 9""",623,"70' 8""",79.91,"2,237,641",2.67,3.05,120.85,4.04,4.64,62.51,70.42,293,6,2903.8,3,50.38,54.85,0.779,1.496,AUS,University of Nevada-Las Vegas
Adam Scott (2019),179.36,299.3,"30' 3""",122,29.03,4.28,"35' 5""",1124,"80' 2""",81.21,"4,084,541",2.43,3.03,120.29,4,4.48,59.91,69.693,261,9,3404.2,9,55.45,59.82,1.831,1.491,AUS,University of Nevada-Las Vegas
Adam Svensson (2019),167.85,289.8,"29' 11""",120.6,29.36,3.75,"33' 8""",223,"68' 8""",79.02,"405,730",2.54,3.04,113.12,4.01,4.61,65.24,71.042,251,10,3030.8,,47.37,60.7,0.38,1.484,CAN,Barry University
Alex Kang (2018),,,,,,,,,,,,,,,,,,,,,,1,,,,,USA,"San Diego State University  (Sociology, 2012)"
Alex Noren (2017),,,,,,,,,,,,,,,,,,,,,,3,,,,,SWE,"Oklahoma State University  (2005, Business Marketing)"
Alex Noren (2018),173.28,299.2,"36' 9""",216,28.97,3.47,"40' 5""",989,"78' 6""",78.12,"2,699,150",2.45,3.11,117.78,4.02,4.56,61.73,69.973,208,5,3143.2,3,51.85,61.74,1.044,1.471,SWE,"Oklahoma State University  (2005, Business Marketing)"
Alex Noren (2019),179.26,301.1,"35' 0""",216,29.58,3.38,"39' 1""",367,"67' 4""",74.62,"913,446",2.82,3.12,120.58,4.06,4.61,62.38,71.046,203,5,2951.4,,44.54,55.47,-0.269,1.486,SWE,"Oklahoma State University  (2005, Business Marketing)"
Alex Prugh (2015),171.22,295.2,"32' 0""",240,30.04,3.59,"34' 11""",433,"66' 1""",81.33,"636,373",2.59,3.03,115.67,4.06,4.61,62.03,71.089,287,6,2644,2,41.51,53.02,-0.004,1.48,USA,"University of Washington  (2007, Economics)"
Alex Prugh (2016),,,,,,,,133,,,"135,437",,,,,,,,,,,,,,,,USA,"University of Washington  (2007, Economics)"
Alex Prugh (2019),174.62,303.7,"32' 6""",106.5,30.01,3.46,"34' 9""",217,"68' 2""",82.2,"467,732",2.63,3.1,117.33,4.02,4.6,64.08,71.322,246,12,2560.9,,47.31,52.88,-0.066,1.488,USA,"University of Washington  (2007, Economics)"
Anders Albertson (2019),169.52,293.2,"32' 10""",192,29.48,3.55,"36' 4""",199,"69' 5""",78.44,"449,226",2.52,2.98,113.11,4.05,4.68,60.11,71.772,227,6,2461.4,1,52.17,62.37,-0.52,1.498,USA,"Georgia Tech  (2015, Business Administration)"
Andres Gonzales (2015),171.88,294.5,"33' 4""",221.1,28.99,3.6,"36' 1""",531,"75' 10""",78.56,"925,335",2.55,3.08,115.75,4.05,4.7,58.06,71.427,310,7,2670.6,3,46.85,55.62,-0.537,1.485,USA,"University of Nevada-Las Vegas  (2006, Journalism)"
Andres Gonzales (2016),173.55,294.7,"31' 8""",351,29.5,3.55,"35' 9""",307,"75' 1""",77.95,"579,667",2.67,3.06,115.87,4.09,4.67,54.55,71.681,277,4,2610.5,1,48.65,55.79,-0.462,1.497,USA,"University of Nevada-Las Vegas  (2006, Journalism)"
Andres Gonzales (2017),173.89,299.2,"31' 8""",138,29.06,3.65,"36' 1""",226,"74' 7""",78.44,"422,078",2.46,3.04,116.3,4.02,4.65,55.75,71.112,252,9,2549.6,1,53.68,61.85,0.02,1.495,USA,"University of Nevada-Las Vegas  (2006, Journalism)"
Andrew Landry (2016),166.55,294.7,"33' 1""",220.5,28.96,3.24,"34' 1""",217,"74' 9""",71.71,"373,980",2.43,3.09,110.35,4.02,4.76,65.55,71.143,159,4,2250.7,1,44.44,61.86,-0.04,1.509,USA,"University of Arkansas  (2009, Communications)"
Andrew Landry (2018),166.35,291.1,"31' 5""",180,28.96,3.5,"33' 9""",1116,"71' 6""",76.91,"2,642,179",2.59,3.05,110.86,4.03,4.72,62.92,71.059,280,8,2545.6,5,42.64,56.97,-0.039,1.5,USA,"University of Arkansas  (2009, Communications)"
Andrew Landry (2019),163.74,286.8,"31' 10""",666,28.89,3.84,"34' 7""",388,"67' 10""",75.24,"887,405",2.5,3.04,108.84,4.02,4.67,71.72,71.265,284,2,2641.8,1,50,60.27,-0.011,1.504,USA,"University of Arkansas  (2009, Communications)"
Andrew Loupe (2015),,,,,,,,112,,,"183,850",,,,,,,,,,,1,,,,,USA,"Louisiana State University  (2011, Sports Administration)"
Andrew Loupe (2016),184.57,309.3,"33' 3""",150,28.63,3.97,"37' 10""",535,"78' 4""",79.04,"1,075,276",3.04,3.06,125.5,4.11,4.58,45.56,71.423,298,9,2809,4,45.3,52.83,-0.115,1.47,USA,"Louisiana State University  (2011, Sports Administration)"
Andrew Loupe (2017),182.77,311.3,"32' 6""",104,29.63,3.04,"37' 0""",105,"71' 0""",73.57,"273,070",3.46,3.18,124.63,4.14,4.8,45.93,72.803,158,9,2771.7,1,39.8,50.27,-1.416,1.466,USA,"Louisiana State University  (2011, Sports Administration)"
Andrew Putnam (2015),164.02,278.7,"34' 2""",576,28.33,3.53,"37' 0""",192,"79' 0""",74.75,"282,879",3.09,3.03,111.35,4.12,4.77,54.98,72.278,226,2,3038.4,,51.82,56.71,-0.905,1.473,USA,"Pepperdine University  (2011, Business Administration)"
Andrew Putnam (2018),167.31,293.8,"33' 8""",320.4,29.36,3.63,"36' 10""",1026,"73' 6""",80.03,"2,387,382",2.33,3.01,113.36,4,4.7,60.42,70.579,323,5,2790.5,5,48.8,61.52,0.472,1.476,USA,"Pepperdine University  (2011, Business Administration)"
Andrew Putnam (2019),166.56,281.5,"33' 5""",342,28.3,4.16,"36' 9""",873,"81' 7""",77.28,"2,439,137",2.38,2.98,115.14,4.03,4.61,60.64,70.644,316,4,2893.8,3,61.02,59.23,0.536,1.447,USA,"Pepperdine University  (2011, Business Administration)"
Andrew Svoboda (2015),166.29,287.1,"32' 3""",156,29.51,3.33,"36' 8""",266,"74' 0""",76.16,"418,963",3.29,3.05,112.86,4.13,4.72,59.32,72.119,260,9,2684.5,1,37.17,51.08,-1.067,1.473,USA,"St. Johns University  (2003, Marketing)"
Andrew Yun (2018),165.25,290.6,"33' 5""",810,30.2,3.13,"37' 8""",16,"73' 3""",72.11,"41,566",3.91,3.09,110.52,4.17,4.88,53.58,73.624,141,1,2727.1,,34.33,44.01,-1.936,1.495,USA,"Stanford University 2013, Sociology"
Arjun Atwal (2015),,,,,,,,64,,,"63,909",,,,,,,,,,,,,,,,IND,Nassau Community College
Arjun Atwal (2016),,,,,,,,21,,,"28,598",,,,,,,,,,,,,,,,IND,Nassau Community College
Arjun Atwal (2017),,,,,,,,20,,,"40,799",,,,,,,,,,,,,,,,IND,Nassau Community College
Arjun Atwal (2018),,,,,,,,4,,,"12,006",,,,,,,,,,,,,,,,IND,Nassau Community College
Arjun Atwal (2019),,,,,,,,35,,,"62,095",,,,,,,,,,,,,,,,IND,Nassau Community College
Austin Cook (2015),,,,,,,,,,,,,,,,,,,,,,2,,,,,USA,"University of Arkansas  (2013, Biology)"
Austin Cook (2018),166.22,292.3,"33' 6""",481.5,28.72,3.92,"36' 1""",1060,"77' 5""",76.05,"2,448,920",2.47,3,110.96,4.01,4.67,66.76,70.469,419,4,2518.2,3,53.45,62.02,0.569,1.498,USA,"University of Arkansas  (2013, Biology)"
Austin Cook (2019),165.12,291,"32' 6""",128,28.77,3.94,"35' 2""",364,"74' 0""",76.52,"837,788",2.8,3.07,110.21,4.03,4.61,70.26,71.201,252,9,2382.2,2,48.89,56.96,-0.319,1.498,USA,"University of Arkansas  (2013, Biology)"
Ben Crane (2015),156.6,271,"34' 8""",1044,28.95,3.21,"35' 4""",182,"76' 0""",70.62,"203,254",2.78,3.06,104.59,4.07,4.74,67.49,71.975,186,1,2470.9,,52.63,61.98,-0.558,1.497,USA,"University of Oregon  (1999, Sociology)"
Ben Crane (2016),159.21,280.3,"34' 7""",456,28.61,3.42,"36' 8""",500,"71' 3""",73.17,"607,892",2.75,3.06,105.86,4.03,4.69,63.18,70.908,260,3,2410.8,1,56.59,61.65,0.202,1.503,USA,"University of Oregon  (1999, Sociology)"
Ben Crane (2017),160.35,278.5,"33' 10""",355.5,29.13,3.33,"37' 1""",281,"72' 6""",74.63,"618,483",2.62,3.03,107.37,4.04,4.76,67.97,71.091,263,4,2620,1,54.48,59.02,-0.223,1.493,USA,"University of Oregon  (1999, Sociology)"
Ben Crane (2018),160.75,281.1,"33' 8""",177,28.69,3.41,"35' 11""",267,"72' 6""",74.69,"620,646",2.46,3.03,107.78,4.02,4.7,67.52,71.097,201,6,2514.5,1,66,63,0.176,1.491,USA,"University of Oregon  (1999, Sociology)"
Ben Crane (2019),,,,,,,,95,,,"193,074",,,,,,,,,,,1,,,,,USA,"University of Oregon  (1999, Sociology)"
Ben Curtis (2015),,,,,,,,51,,,"59,018",,,,,,,,,,,,,,,,USA,"Kent State University  (2000, Recreation Management)"
Ben Curtis (2016),,,,,,,,22,,,"12,691",,,,,,,,,,,,,,,,USA,"Kent State University  (2000, Recreation Management)"
Ben Martin (2015),168.18,288.1,"31' 1""",231.4,29.64,3.83,"34' 10""",1217,"77' 9""",78.02,"2,717,305",2.67,3.03,114.46,4.03,4.71,65.09,70.95,345,7,2982.9,5,49.59,54.04,0.28,1.469,USA,"Clemson University  (2009, Financial Management)"
Ben Martin (2016),168.27,288.8,"32' 3""",99,29.26,3.69,"35' 0""",741,"79' 10""",79.08,"1,205,730",2.74,3.1,113.57,4.05,4.61,62.14,71.282,325,16,2860,2,41.67,54.84,0.023,1.481,USA,"Clemson University  (2009, Financial Management)"
Ben Martin (2017),168.14,291.7,"31' 0""",474,29.25,3.66,"34' 5""",378,"72' 6""",77.75,"850,319",2.63,3.03,113.16,4.05,4.69,63.67,70.954,289,3,2624.7,2,52.9,58.53,0.163,1.486,USA,"Clemson University  (2009, Financial Management)"
Ben Martin (2018),165.61,289.6,"34' 7""",384,28.58,3.59,"38' 1""",266,"73' 10""",75.62,"532,936",2.63,3.08,112.2,4.03,4.72,63.52,70.974,230,3,2828.8,1,57.69,58.8,-0.001,1.476,USA,"Clemson University  (2009, Financial Management)"
Ben Silverman (2018),166.43,290.2,"31' 11""",378,28.74,3.7,"36' 5""",323,"78' 6""",75.94,"793,140",2.54,3.07,110.66,4.06,4.65,65.56,71.281,311,4,2784.8,2,44.67,57.36,-0.206,1.504,CAN,Johnson & Wales University; Florida Atlantic University  (20
Ben Silverman (2019),166.23,287.2,"34' 3""",153,29.35,3.44,"35' 7""",143,"73' 11""",75.04,"298,497",2.66,3.04,110.63,4.05,4.65,67.97,71.401,234,8,2499.5,,61.17,59.51,-0.357,1.502,CAN,Johnson & Wales University; Florida Atlantic University  (20
Bill Haas (2015),165.52,290.7,"33' 9""",258,29.58,3.43,"35' 9""",1281,"69' 5""",78.4,"3,064,024",2.33,3.08,112.2,4.02,4.64,63.35,70.672,295,6,2620.2,5,52.5,61.9,0.46,1.475,USA,Wake Forest University  (2004 Religious Studies)
Bill Haas (2016),168.55,289.6,"34' 0""",164,29.44,3.11,"36' 1""",1129,"65' 3""",78.32,"2,390,199",2.39,3.02,114.43,4.04,4.69,62.34,70.444,255,9,2803.1,6,50.35,63.3,0.519,1.472,USA,Wake Forest University  (2004 Religious Studies)
Bill Haas (2017),168.53,293,"33' 7""",510,29.15,3.47,"36' 0""",946,"67' 9""",79.23,"2,842,173",2.4,3.04,114.33,4.01,4.64,59.27,70.011,295,3,2789.4,4,53.57,63.75,0.923,1.474,USA,Wake Forest University  (2004 Religious Studies)
Bill Haas (2018),169.91,296.2,"34' 11""",190.3,29.23,3.05,"37' 9""",262,"70' 3""",77.33,"638,414",2.66,3.06,115.39,4.06,4.66,57.27,71.028,226,7,2699,1,57.26,60.34,0.079,1.472,USA,Wake Forest University  (2004 Religious Studies)
Bill Haas (2019),170.28,291.5,"35' 9""",177.4,28.9,3.57,"38' 8""",312,"66' 1""",75.76,"730,806",2.51,3.11,115.1,4.04,4.5,61.33,71.056,246,7,2932.3,2,52.34,61.73,0.153,1.479,USA,Wake Forest University  (2004 Religious Studies)
Bill Lunde (2015),164.46,287.7,"31' 4""",207,30.02,3.13,"34' 8""",117,"74' 2""",78.13,"128,788",2.72,3.04,109.68,4.06,4.75,63.59,71.796,144,4,2536.6,,56.9,57.53,-1.244,1.499,USA,"University of Nevada-Las Vegas  (1998, Economics)"
Bill Lunde (2017),,,,,,,,121,,,"233,984",,,,,,,,,,,1,,,,,USA,"University of Nevada-Las Vegas  (1998, Economics)"
Billy Horschel (2015),168.53,295,"33' 1""",246.9,29.71,3.83,"36' 9""",903,"80' 9""",79.05,"1,735,751",2.43,3.09,113.38,4.02,4.66,63.77,71.05,368,7,2440.7,2,47.06,57.61,0.446,1.486,USA,"University of Florida  (2009, Sports Management)"
Billy Horschel (2016),169.45,293,"33' 2""",315,29.5,3.71,"36' 11""",694,"74' 0""",78.66,"1,744,571",2.77,3.1,113.38,4.03,4.69,60.71,70.548,260,4,2582.8,5,49.55,54.55,0.829,1.494,USA,"University of Florida  (2009, Sports Management)"
Billy Horschel (2017),170.7,300.1,"33' 3""",516,29.92,3.38,"36' 4""",1068,"76' 11""",78.53,"2,697,960",2.71,3.07,116.12,4.05,4.79,60.07,70.832,291,3,2298.3,4,44.88,54.33,0.004,1.471,USA,"University of Florida  (2009, Sports Management)"
Billy Horschel (2018),170.04,295.4,"33' 2""",184.5,29.46,3.91,"36' 4""",960,"74' 4""",79.97,"4,315,200",2.29,3.02,114.48,4,4.52,67.8,70.154,321,8,2617.6,6,51.72,58.03,1.112,1.485,USA,"University of Florida  (2009, Sports Management)"
Billy Horschel (2019),169.24,291.8,"34' 4""",184,28.99,3.61,"36' 11""",835,"77' 4""",77.63,"2,187,249",2.41,2.99,113.61,4.01,4.65,64.71,70.644,332,9,2574.7,4,47.86,61.38,0.829,1.489,USA,"University of Florida  (2009, Sports Management)"
Billy Hurley III (2015,,,,,,,,420,,,,,,,,4.79,,,,,,,,,,,USA,"United States Naval Academy  (2004, Quantitative Economics)"
Billy Hurley III (2015),158.73,271.9,"31' 9""",284.4,28.84,3.01,"33' 6""",,"73' 5""",73.31,"591,450",2.24,2.98,108.47,4.04,,65.91,71.043,238,5,2971.1,1,47.93,64.17,-0.112,1.463,USA,"United States Naval Academy  (2004, Quantitative Economics)"
Billy Hurley III (2016,,,,,,,,,,,,,,,4.02,,65.36,,,,,,,61.63,,,USA,"United States Naval Academy  (2004, Quantitative Economics)"
Billy Hurley III (2016),160.35,277.7,"31' 4""",297,28.36,3.38,"33' 6""",710,"72' 8""",73.09,"1,770,400",2.55,3.1,108.82,,4.71,,70.846,223,4,2651.3,2,46.88,,0.348,1.473,USA,"United States Naval Academy  (2004, Quantitative Economics)"
Billy Hurley III (2017,,,,,,,"35' 11""",,,,,,,,,,,,,,,,,,,1.481,USA,"United States Naval Academy  (2004, Quantitative Economics)"
Billy Hurley III (2017),160.99,276.9,"32' 7""",360,28.76,3.58,,333,"77' 0""",76.73,"719,579",2.76,3.08,108.71,4.06,4.7,60.57,71.176,286,4,2656.3,1,43.48,58.78,0.11,,USA,"United States Naval Academy  (2004, Quantitative Economics)"
Billy Hurley III (2018,161.67,,"32' 6""",,,,"36' 4""",,,,,,,,,,,,,,,,,,,1.479,USA,"United States Naval Academy  (2004, Quantitative Economics)"
Billy Hurley III (2018),,284,,192,29.09,3.27,,73,"74' 1""",76.18,"145,725",3.17,3.11,109.3,4.07,4.72,59.24,71.715,209,6,2725.4,,48.96,54.93,-0.702,,USA,"United States Naval Academy  (2004, Quantitative Economics)"
Billy Hurley III (2019),,,,,,,,122,,,"239,396",,,,,,,,,,,1,,,,,USA,"United States Naval Academy  (2004, Quantitative Economics)"
Billy Mayfair (2015),,,,,,,,26,,,"19,710",,,,,,,,,,,,,,,,USA,Arizona State University
Billy Mayfair (2016),,,,,,,,40,,,"39,720",,,,,,,,,,,,,,,,USA,Arizona State University
Blake Adams (2015),,,,,,,,74,,,"156,939",,,,,,,,,,,,,,,,USA,"Georgia Southern University  (2001, Sociology)"
Blayne Barber (2015),167.04,288.6,"32' 3""",190.3,28.89,3.77,"34' 5""",380,"75' 10""",77.17,"768,383",2.53,3.11,112,4.02,4.66,63.72,71.127,279,7,2636.9,4,47.06,59.51,0.015,1.491,USA,"Auburn University 2012, Finance"
Blayne Barber (2016),165.59,289.6,"32' 0""",205.7,29.36,3.53,"34' 11""",520,"74' 0""",76.58,"768,585",2.76,3.03,109.64,4.06,4.65,62.37,71.032,282,7,2514.1,1,51.46,57.62,0.099,1.51,USA,"Auburn University 2012, Finance"
Blayne Barber (2017),167.21,291.2,"31' 1""",319.5,29.08,3.77,"33' 7""",381,"83' 0""",77.87,"823,082",2.48,3.03,111.27,4.06,4.73,61.62,71.163,268,4,2372.4,1,50.43,55.8,0.013,1.502,USA,"Auburn University 2012, Finance"
Blayne Barber (2018),166.91,294.7,"30' 10""",402,29.66,3.79,"33' 9""",202,"75' 11""",79.14,"398,137",2.51,3.04,111.16,4.02,4.62,64.67,70.835,254,3,2639.8,,52.73,57.46,-0.041,1.501,USA,"Auburn University 2012, Finance"
Bo Van Pelt (2015),167.39,289.5,"30' 4""",711,29.54,3.65,"34' 1""",322,"76' 6""",81.14,"580,611",2.67,3.03,112.21,4.07,4.73,60.73,71.497,288,2,2482.1,2,42.34,55.84,-0.25,1.492,USA,"Oklahoma State University  (1998, General Business)"
Bo Van Pelt (2016),,,,,,,,18,,,"15,392",,,,,,,,,,,,,,,,USA,"Oklahoma State University  (1998, General Business)"
Bob Estes (2017),,,,,,,,41,,,"76,930",,,,,,,,,,,,,,,,USA,University of Texas
Bob Estes (2018),,,,,,,,7,,,"15,431",,,,,,,,,,,,,,,,USA,University of Texas
Boo Weekley (2015),168.49,292,"31' 3""",203.1,29.27,3.71,"35' 1""",776,"70' 6""",77.73,"1,689,914",2.67,3.06,113.44,4.03,4.62,63.27,70.775,293,7,2547.6,6,46.61,59.91,0.425,1.485,USA,Abraham Baldwin Agricultural College
Boo Weekley (2016),166.54,291.5,"32' 4""",249,29.42,3.69,"34' 4""",532,"73' 4""",76.96,"991,660",2.57,3.07,112.17,4.05,4.6,66.98,71,306,6,2511,2,42.52,58.33,0.082,1.485,USA,Abraham Baldwin Agricultural College
Boo Weekley (2017),167.76,289.9,"31' 3""",164.3,30.29,3.38,"33' 2""",173,"69' 4""",75.79,"416,929",2.89,3.13,113.02,4.05,4.66,71.67,71.476,247,8,2748.4,1,44.64,56.31,-0.323,1.484,USA,Abraham Baldwin Agricultural College
Boo Weekley (2019),,,,,,,,53,,,"107,981",,,,,,,,,,,,,,,,USA,Abraham Baldwin Agricultural College
Brad Fritsch (2017),169.52,288.3,"30' 3""",312,29.54,3.6,"35' 0""",74,"68' 2""",77.8,"166,440",3.17,3.01,116.03,4.11,4.67,56.4,71.855,187,3,2869.2,,48.19,56.42,-0.719,1.461,CAN,"Campbell University  (2000, Criminal Justice Administration)"
Braden Thornberry (2017,,,,,,,,,,,,,,,,,,,,,,1,,,,,USA,University of Mississippi
Brady Schnell (2019),161.75,283.3,"32' 10""",131.1,28.8,3.37,"34' 6""",103,"72' 10""",72.97,"210,914",2.8,3.08,107.61,4.06,4.66,67.46,71.944,172,7,2269.4,,52.24,57.98,-0.763,1.503,USA,"University of Nebraska  (2008, Political Science)"
Brandon Hagy (2017),186.79,312.7,"33' 9""",115.5,29.06,3.66,"37' 5""",419,"72' 7""",76.64,"861,227",2.77,3.14,126.49,4.03,4.56,52.46,70.875,282,12,2808.2,1,54.69,60.16,0.293,1.476,USA,"University of California-Berkeley  (2014, Business Administr"
Brandon Hagy (2018),,,,,,,,39,,,"76,817",,,,,,,,,,,,,,,,USA,"University of California-Berkeley  (2014, Business Administr"
Brandon Hagy (2019),,,,,,,,4,,,"14,555",,,,,,,,,,,,,,,,USA,"University of California-Berkeley  (2014, Business Administr"
Brandon Harkins (2018),175.21,303.1,"32' 5""",122.1,28.86,3.94,"36' 10""",528,"77' 2""",79.5,"1,148,115",2.82,3.01,116.76,4.04,4.62,54.79,70.721,374,14,2801.2,3,53.42,55.88,0.275,1.5,USA,"California State University-Chico  (2010, Psychology)"
Brandon Harkins (2019),175,304.3,"32' 4""",186.8,29.17,4.06,"36' 3""",225,"67' 0""",79.36,"494,795",2.95,3.07,116.44,4.05,4.61,56.96,71.519,337,8,2514.2,1,48.65,53,-0.389,1.502,USA,"California State University-Chico  (2010, Psychology)"
Brandt Jobe (2015),,,,,,,,2,,,"12,825",,,,,,,,,,,,,,,,USA,"UCLA  (1988, History)"
Brandt Snedeker (2015),165.38,288.4,"33' 4""",190,28.26,3.75,"35' 8""",1537,"79' 7""",75.62,"3,698,056",2.43,3.04,110.67,4.01,4.61,60.98,70.158,356,9,2614,8,59.04,63.27,0.607,1.494,USA,"Vanderbilt University  (2004, Communications)"
Brandt Snedeker (2016),165.92,292.6,"33' 9""",400.5,28.66,3.81,"35' 10""",1717,"74' 5""",76.4,"3,960,142",2.43,3.06,111.96,3.98,4.69,58.69,70.203,339,4,2606.6,7,57.14,62.73,0.968,1.482,USA,"Vanderbilt University  (2004, Communications)"
Brandt Snedeker (2017),164.93,281.6,"33' 9""",450,28.62,4.06,"35' 11""",663,"80' 7""",76.96,"1,625,806",2.5,2.95,112.3,4,4.66,63.58,70.055,203,2,2808.6,4,56.25,63.18,1.079,1.468,USA,"Vanderbilt University  (2004, Communications)"
Brandt Snedeker (2018),165.37,293.1,"33' 9""",147.6,28.63,3.62,"35' 11""",1077,"81' 1""",76.91,"2,448,970",2.5,3.07,111.12,4,4.64,62.79,70.379,297,10,2584.6,4,56.67,60.08,0.625,1.488,USA,"Vanderbilt University  (2004, Communications)"
Brandt Snedeker (2019),163.19,287.2,"35' 2""",297,28.33,3.74,"37' 4""",934,"74' 10""",76.83,"3,122,936",2.37,3.07,109.96,3.99,4.62,63.25,70.52,370,6,2639,6,62.29,63.04,0.962,1.484,USA,"Vanderbilt University  (2004, Communications)"
Brendan Steele (2015),175.33,302.9,"32' 6""",189,29.13,4,"35' 8""",895,"74' 9""",78.94,"1,759,484",2.38,3.06,118.01,3.99,4.61,61.13,70.413,336,8,2546.4,4,51.75,60.08,0.958,1.486,USA,"University of California-Riverside  (2005, Business Administ"
Brendan Steele (2016),175.8,302.2,"31' 1""",168,29.8,3.52,"35' 8""",791,"69' 5""",81.1,"1,589,266",2.63,3.09,118.29,4.06,4.58,60.29,70.855,296,9,2419.9,2,55.96,54.76,0.255,1.486,USA,"University of California-Riverside  (2005, Business Administ"
