PLAYER NAME,Ball Speed,Driving Distance,Approaches from > 100 yards,Eagles (Holes per),Putts Per Round,Birdie Average,Proximity to Hole,FedexCup Regular Season Points,Average Distance of Putts made,GIR Percentage from Fairway,Official Money,Bogey Average,Par 3 Scoring Average,Club Head Speed,Par 4 Scoring Average,Par 5 Scoring Average,Driving Accuracy Percentage,Scoring Average,Total Birdies,Total Eagles,Spin Rate,Top 10 Finishes,Sand Save Percentage,Scrambling,SG: Total,Smash Factor,Country,College
Padraig Harrington (2019),,,,,,,,61,,,,,,,,,,,,,,,,,,,IRL,Dublin Business College
Parker McLachlin (2015,,,,,,,,7,,,,,,,,,,,,,,,,,,,USA,"UCLA (2002, Sociology)"
Parker McLachlin (2015),,,,,,,,,,,"7,560",,,,,,,,,,,,,,,,USA,"UCLA (2002, Sociology)"
Parker McLachlin (2018),,,,,,,,92,,,"174,039",,,,,,,,,,,,,,,,USA,"UCLA (2002, Sociology)"
Parker McLachlin (2019),,,,,,,,16,,,"29,674",,,,,,,,,,,,,,,,USA,"UCLA (2002, Sociology)"
Pat Perez (2015),166.26,284.6,"31' 11""",216,28.71,3.97,"34' 5""",825,"78' 4""",77.3,"1,588,664",2.38,3.05,115.12,3.99,4.64,65.7,70.666,381,8,2943,2,52.86,60,0.586,1.444,USA,Arizona State University
Pat Perez (2016),,,,,,,,34,,,"47,840",,,,,,,,,,,,,,,,USA,Arizona State University
Pat Perez (2017),168.97,290.9,"35' 3""",202.5,28.69,3.72,"37' 5""",1461,"77' 0""",79.69,"4,361,400",2.39,3.06,115.15,4.01,4.59,62,70.25,335,8,2910.4,6,54.55,63.14,0.862,1.468,USA,Arizona State University
Pat Perez (2018),168.41,290.9,"33' 2""",675,29.29,3.85,"35' 7""",1116,"75' 3""",79.65,"2,962,641",2.6,3.05,116.79,4.03,4.66,65.09,70.594,289,2,3127.4,4,47.2,55.63,-0.048,1.442,USA,Arizona State University
Pat Perez (2019),167.9,286.1,"35' 1""",159.4,28.55,3.77,"36' 10""",376,"77' 1""",74.38,"1,103,241",2.55,3.02,115.51,4.03,4.64,65.28,71.059,234,7,3046.3,3,50,61.76,0.288,1.453,USA,Arizona State University
Patrick Cantlay (2015),,,,,,,,1,,,"11,468",,,,,,,,,,,,,,,,USA,UCLA
Patrick Cantlay (2017),171.42,298.9,"33' 1""",144,29.19,3.73,"36' 8""",578,"75' 6""",79.76,"2,049,632",2.21,3.04,113.94,4.01,4.56,61.47,69.971,179,6,2445.1,4,51.14,60.15,1.269,1.504,USA,UCLA
Patrick Cantlay (2018),173.07,303.1,"31' 5""",160,29.8,3.83,"36' 0""",1388,"68' 7""",81.12,"3,963,962",2.54,3.04,114.8,4,4.56,61.58,69.899,306,9,2535,7,53.91,57.58,1.096,1.507,USA,UCLA
Patrick Cantlay (2019),175.52,304.7,"30' 0""",259.2,28.25,4.4,"35' 6""",1730,"74' 1""",79.41,"6,121,488",2,2.97,116.27,3.96,4.53,57.34,69.306,317,5,2543.8,9,58.04,66.12,1.857,1.509,USA,UCLA
Patrick Reed (2015),172.74,292.9,"32' 11""",200,28.16,3.92,"36' 4""",1593,"76' 6""",79.13,"3,590,566",2.58,3.03,117.85,4,4.61,54.78,70.292,392,9,2634.3,4,52.24,61.99,0.859,1.465,USA,Augusta University
Patrick Reed (2016),172.97,297.4,"33' 1""",151.5,28.4,3.81,"36' 1""",1575,"72' 3""",76.39,"5,679,575",2.36,3.02,118.5,4.02,4.57,55.96,70.17,385,12,2950.3,11,56.71,63.97,1.026,1.459,USA,Augusta University
